Chunk_Text,Page_Number
"5,613,505 15 The FET's 615, four as shown, are connected in a full bridge configuration. This preferential circuit topology is used to maximize the power transfer to the work excitation coil 614 while minimizing source impedance and reducing switching losses. The input supply voltage, depending on circuit 5 application, would range between 3 and 24 VDC. The power delivery from power supply 600 (shown in FIG. 14) to the work coil 614 is dynamically (realtime) monitored by the use of a current transformer 616. The scaled current from the current transformer 616 is routed into a first signal condi- tioning network 618 and converted into a voltage to provide an error signal to the PWM controller 611. The voltage scaled signal also feeds a second separate signal condition- ing network 622 which provides a varying DC signal related to the reflected impedance of the susceptor within a ciga- rette, and the susceptor's particular physical properties such as resistance, magnetic permeability, geometry, etc. This signal is routed into a circuit subsystem labelled signature processor 624. The cigarette susceptor's impedance is moni- tored upon cigarette insertion into the lighter subsystem, by 20 the application of less than 5% of the nominal applied power for short ""burst"" of a magnetic field having less strength than the magnetic field generated to heat the susceptor, i.e., the initial field is incapable of heating the susceptor. The ciga- rette susceptor reflects impedances into the work coil 614 dependent on the applied frequencies. The signature proces- 25 sor 624 compares the reflected load impedance with stored values in a ROM table at several arbitrary frequencies. The accuracy of discrimination of the cigarette susceptor, and 16 end legs extending in the same direction from a common section, wherein said coil is spiraled around the common section. 5. The heating system according to claim 2, wherein said ferrite structure comprises a ring defining a hollow annular interior and said excitation coil is wound through the annular interior, said ring encircling the tobacco flavor medium. 6. The heating system according to claim 5, further comprising a magnetically permeable spacer located in the hollow interior between said excitation coil and said ring. 10 7. The heating system according to claim 1, wherein said susceptor element is aluminum, conductive carbon, graphite, stainless steel, copper, bronze or a combination thereof. 8. A heating system for an electrical smoking article for smoking a tobacco flavor medium in thermal proximity to a susceptor material, the heating system further comprising: a controller which activates said induction source. 15 9. The heating system according to claim 8, wherein said controller comprises means for activating said induction source at a desired time and for deactivating said induction source after a predetermined period. 10. The heating system according to claim 8, wherein said controller is responsive to a draw upon the smoking article. 11. The heating system according to claim 8, further comprising a means for determining whether an appropriate susceptor material is present, said determining means acti- vating said controller only if an appropriate susceptor mate- rial is present. 12. The heating system according to claim 8, wherein said controller applies an initial alternating magnetic field to an detection of off-specification cigarettes or foreign objects is 30 intended location of the susceptor material, the initial mag- based on the number of test frequencies used and the tolerance window allowed for each test response. The sig- nature processor 624 provides a ""GO/NO-GO"" permissive signal to a power delivery control and logic subsystem 612 of the lighter, which then controls the synchronization and 35 susceptor material. on-time operation of the PWM control logic driver chip 611. The signature processor 624 also detects unexpected energy delivery to the susceptor due to a significant shift in detected susceptor's physical properties and interrupts operation of the lighter by turning off the PWM controller chip 611 via 40 subsystem 612. netic field being incapable of inductively heating the sus- ceptor material, and said controller determines whether to apply the alternating magnetic field based upon a reflection of the initial magnetic field indicating presence of a desired 13. The heating system according to claim 8, wherein said controller is connected to a detector for measuring a physical property and deactivates said induction source in response to a shift in a detected characteristic of the susceptor material. 14. The heating system according to claim 8, wherein the tobacco flavor medium comprises a web having tobacco flavor medium therealong; and the system further comprises means for supporting a section of said web in thermal proximity to the susceptor material within the alternating 45 magnetic field of the induction source; and means for advancing said web to present a successive section having said tobacco medium in thermal proximity to the susceptor material therealong within the alternating magnetic field of the induction source. Many substitutions, modifications and improvements may be apparent to the skilled artisan without departing from the spirit and scope of the present invention as described and defined in the specification and following claims. We claim: 1. A heating system for an electrical smoking article for smoking tobacco flavor medium comprising: a generator for producing an alternating magnetic field, a susceptor material which is inductively heatable by the alternating magnetic field and positioned relative to the generator so as to be heatable by the alternating mag- netic field, and 50 15. The heating system according to claim 1, further comprising a hollow region for allowing a draw by a smoker, and means for activating the generation of an alternating magnetic field by said induction heater in response to a draw by a smoker. a tobacco flavor medium in thermal proximity to the susceptor material. 55 16. A heating system as claimed in claim 15, wherein the hollow region is a mouthpiece or an opening for the insertion of a cigarette. 2. The heating system according to claim 1, wherein said generator comprises: a ferrite structure; and 17. The heating system according to claim 1, wherein the tobacco flavor medium comprises a web having tobacco an excitation coil wrapped around said ferrite structure. 60 flavor medium therealong; and wherein the heating system 3. The heating system according to claim 2, wherein the ferrite structure comprises an E-shaped structure having two end legs and a middle leg extending in the same direction from a common section, wherein said excitation coil is spiraled around the middle leg. further comprises means for supporting a section of said web in thermal proximity to the susceptor material within the alternating magnetic field of the induction source and means for advancing said web to present a successive section having said tobacco medium in thermal proximity to the susceptor material therealong within the alternating mag- netic field of the induction source. 65 4. The heating system according to claim 2, wherein the ferrite structure comprises a C-shaped structure having two",96
"5,613,505 17 18. A heating system for an electrical smoking article for smoking a tobacco flavor medium in thermal proximity to a susceptor material heated inductively by an alternating mag- netic field, the heater comprising: 18 30. The heating system according to claim 19, wherein the tobacco flavor medium comprises a web having tobacco flavor medium therealong; and wherein the heating system further comprises means for supporting a section of said web in thermal proximity to the susceptor material within the alternating magnetic field of the induction source and means for advancing said web to present a successive section having said tobacco medium in thermal proximity to the susceptor material therealong within the alternating mag- netic field of the induction source. a ferrite ring structure capable of and adapted for encir- 5 cling the tobacco flavor medium and susceptor; an excitation coil wrapped around said ferrite structure and wound through the annular interior; and a ring gap defined through an inner circumferential wall of said ferrite ring structure, whereby the alternating 10 magnetic field collapses at the defined gap. 19. A heating system for an electrical smoking article for smoking a tobacco flavor medium in thermal proximity to a susceptor material, the heating system comprising: 31. A heating system for an electrical smoking article for smoking a cylindrical tobacco flavor medium in thermal proximity to a susceptor material, the heating system com- prising: a plurality of generators for producing an alternating 15 magnetic field, susceptor material which is capable of being heated by said alternating magnetic field and positioned relative to the generators so as to be heatable by the alternating magnetic field, and a plurality of generators for producing an alternating magnetic field; a susceptor material which is capable of being heated by said alternating magnetic field and positioned relative to the generators so as to be heatable by the alternating magnetic field; and 20 a tobacco flavor medium, wherein said susceptor material is located in thermal proximity to the tobacco flavor medium, and wherein said plurality of generators are positioned to heat separate portions of the tobacco flavor medium via the susceptor material. a cylindrical tobacco flavor medium, wherein said susceptor material is located in thermal proximity to the cylindrical tobacco flavor medium, and 25 wherein said plurality of generators are positioned to heat separate portions of the tobacco flavor medium via the susceptor material and are arranged circum- ferentially around the cylindrical tobacco flavor medium in the same plane. 20. The heating system according to claim 19, wherein the tobacco flavor medium is cylindrical and said plurality of generators are arranged circumferentially around the cylin- drical tobacco flavor medium. 21. The heating system according to claim 19, wherein each of said generators comprise: 30 32. A heating system for an electrical smoking article for smoking a cylindrical cigarette tobacco flavor medium in thermal proximity to a susceptor material, the heating sys- tem comprising: a ferrite structure; and an excitation coil wrapped around said ferrite structure. 22. The heating system according to claim 21, wherein the 35 ferrite structure comprises an E-shaped structure having two end legs and a middle leg extending in the same direction from a common section, wherein said excitation coil is spiraled around the middle leg. a plurality of generators for producing an alternating magnetic field, susceptor material which is capable of being heated by said alternating magnetic field and is positioned relative to the generators so as to be heatable by the alternating magnetic field, and 23. The heating system according to claim 21, wherein the 40 ferrite structure comprises a C-shaped structure having two end legs extending in the same direction from a common section, wherein said coil is spiraled around the common section. a cylindrical cigarette in thermal proximity to the suscep- tor material, wherein the heating system further com- prises: a cylindrical tube, said tube defined by spaced apart, coaxial inner and outer walls, the inner wall defining a hollow cylindrical receptacle for insertion of the cylindrical cigarette, said plurality of generators located between the spaced apart inner and outer walls. 24. The heating system according to claim 21, wherein 45 said ferrite structure comprises a ring defining a hollow annular interior and said excitation coil is wound through the annular interior, said ring encircling the tobacco flavor medium. 25. The heating system according to claim 24, further 50 comprising a magnetically permeable spacer located in the hollow interior between said excitation coil and said ring. 33. The heating system according to claim 32, wherein each of said plurality of generators comprises a ferrite ring located between the spaced apart inner and outer tube walls and coaxial therewith, and an excitation wire connected to a source of electrical energy wound about each ring to form an excitation coil coaxial with each ring. 26. The heating system according to claim 19, wherein said susceptor material is aluminum, conductive carbon, graphite, stainless steel, copper, bronze or a combination 55 thereof. 34. The heating system according to claim 33, further comprising a plurality of magnetic shield rings, each mag- netic shield ring interposed between two adjacent ferrite rings and associated excitation coils, said magnetic shield 27. The heater according to claim 21, wherein said susceptor element is aluminum, conductive carbon, graphite, stainless steel, copper, bronze or a combination thereof. 28. The heating system according to claim 19, further 60 rings coaxial with said ferrite rings. comprising a hollow region for allowing a draw by a smoker, and means for activating the generation of an alternating magnetic field by one of said plurality of induction heaters in response to a draw by the smoker. 35. The heating system according to claim 34, wherein the susceptor material is in intimate physical contact with the cylindrical cigarette, whereby the alternating magnetic field inductively heats said susceptor which in turn heats the 29. A heating system as claimed in claim 28, wherein the 65 tobacco flavor medium of the cylindrical cigarette. 36. The heating system according to claim 35, wherein said susceptor material is aluminum, conductive carbon, hollow region is a mouthpiece or an opening for the insertion of a cigarette.",97
"5,613,505 19 20 graphite, stainless steel, copper, bronze or a combination thereof. 37. The heating system according to claim 33, further comprising a plurality of magnetic shield rings, each mag- netic shield ring interposed between two adjacent ferrite5 rings and associated excitation coils, said magnetic shield rings coaxial with said ferrite rings. 38. The heating system according to claim 33, wherein at 42. The heating system according to claim 32, wherein said susceptor material is aluminum, conductive carbon, least one portion of the susceptor material is in intimate contact with the cylindrical cigarette, whereby the alternat- 10 graphite, stainless steel, copper, bronze or a combination ing magnetic field inductively heats said susceptor element thereof. which in turn heats the tobacco flavor medium of the cylindrical cigarette. * 39. The heating system according to claim 38, said susceptor material is aluminum, conductive carbon, graph- ite, stainless steel, copper, bronze or a combination thereof. 40. The heating system according to claim 33, wherein the inner tubular wall is magnetically permeable. 41. The heating system according to claim 33, wherein the outer tubular wall is a magnetic shield.",98
"US 20060118589A1 (19) United States (12) Patent Application Publication Arnarp et al. (10) Pub. No .: US 2006/0118589 A1 (43) Pub. Date: Jun. 8, 2006 (54) SMOKELESS TOBACCO PRODUCT USER PACKAGE (51) Int. Cl. (76) Inventors: Jan Arnarp, (US); Fredrik Hodin, (US); Jorgen Lundin, (US) (57) ABSTRACT Correspondence Address: RENNER OTTO BOISSELLE & SKLAR, LLP 1621 EUCLID AVENUE NINETEENTH FLOOR CLEVELAND, OH 44115 (US) (21) Appl. No .: 10/426,017 (22) Filed: Apr. 29, 2003 Publication Classification B26F 3/02 (2006.01) (52) U.S. Cl. 225/43; 225/66; 225/80 A smokeless tobacco product user package (10). The pack- age comprises a closed housing (12) containing a continuous band comprising the smokeless tobacco product (42). An opening (20) in the housing (12) exposes an outer end (46) of the continuous band outside the housing (12), and allows outfeed of the continuous band from the housing (12) and separation of a desired length of the outer end (46) by the user. A reclosable closure means (26) is provided for alter- natively covering and exposing the outer end (46) of the continuous band outside the housing (12). 27 26 1 10 S 2 16 24 32 30 42 24 22 11 46 -. 20 - 28 18 7 12 14",99
"Patent Application Publication Jun. 8, 2006 Sheet 1 of 4 US 2006/0118589 A1 27 26 10 1, 30 16 24 32 42 24 22 20 46 -- 28 FIG. 1 - 18 7 12 14 26 46 SC 14-> 20 42 FIG.2 €40 32->",100
"Patent Application Publication Jun. 8, 2006 Sheet 2 of 4 28 € 26 30 22 24 -20 14 - +16 17+ 18 US 2006/0118589 A1 10 42 40 24 <32 50 34 FIG.3 40 42 1 44- 50 FIG. 4",101
"Patent Application Publication Jun. 8, 2006 Sheet 3 of 4 US 2006/0118589 A1 40 15 42 34 32 1 14 FIG.5 42 43 42 40 V 1 1 . 1 48 FIG.6 12 36",102
"Patent Application Publication Jun. 8, 2006 Sheet 4 of 4 US 2006/0118589 A1 -12 14 FIG.7 -13 28 16 K 32 33 32-27 FIG.8 13 15 56 52 / FIG.9 54",103
"Jun. 8, 2006 US 2006/0118589 A1 1 SMOKELESS TOBACCO PRODUCT USER PACKAGE FIELD OF THE INVENTION [0001] The present invention relates to smokeless tobacco product user packages. DESCRIPTION OF RELATED ART [0002] Today, tobacco products, particularly in the form of oral snuff, are commonly available in powder form, where the user picks a snuff dose by his/her fingers from an open package. In order to provide oral snuff in a more hygienic and clean manner, it is also known to package oral snuff in separate small bags, each having a predetermined amount of snuff stored therein. SUMMARY OF THE INVENTION [0003] An object with the present invention is to further improve the packaging of smokeless tobacco doses so that the tobacco product at each single instance is more easily accessible to the user in a wider range of desired amounts. [0004] According to one aspect the invention provides a smokeless tobacco product user package, comprising a closed housing for containing a continuous band comprising said smokeless tobacco product, an opening in said housing for exposing an outer end of said continuous band outside said housing and allowing outfeed of said continuous band from said housing and separation of a desired length of said outer end by the user, and a reclosable closure means for alternatively covering and exposing said outer end of said continuous band outside said housing. [0005] The package preferably also has a cutting means outside said housing for said separation of the desired length of said outer end outside the housing. In a preferred embodi- ment the cutting means is connected to the housing or the closure to thereby effect said cutting when said closure is manually closed by the user. [0006] The smokeless tobacco product is suitably an oral snuff product. [0007] Other objects and advantages of the invention are apparent from the following detailed description and the claims. BRIEF DESCRIPTION OF THE DRAWING [0008] FIG. 1 is perspective view of a first embodiment of a smokeless tobacco product user package according to the invention; [0009] FIG. 2 is an exploded view of a package shown in FIG. 1; [0010] FIG. 3 is an exploded perspective view of a second embodiment of a smokeless tobacco product user package according to the invention; [0011] FIG. 4 is a perspective view of a continuous band of a smokeless tobacco product for a package according to the invention; [0012] FIG. 5 is an exploded perspective view with parts broken away showing a continuous band of a smokeless tobacco product arranged for outfeed from a package by rotation of a part of the package; [0013] FIG. 6 is a fragmentary view, partially in section, showing an alternatively manner of storing a smokeless tobacco product in a package according to the invention; [0014] FIG. 7 is a perspective view of another embodi- ment of another smokeless tobacco product user package container according to the invention; [0015] FIG. 8 is a perspective view of a bottom housing half of the container according to FIG. 7; and [0016] FIG. 9 is a perspective view of a spool for a continuous band of a smokeless tobacco product to be used in a package according to the invention. DETAILED DESCRIPTION OF PREFERRED EMBODIMENTS [0017] The smokeless tobacco product according to the invention, in one embodiment comprises a so called oral snuff product comprising a particulate or powdery tobacco product that is provided in portions 42 (FIG. 1-3 and 6) either in a powder state (not shown) or a pellet shape having a tobacco dough consistency, where in the latter case a thickening agent could be added to the tobacco product powder. [0018] The portions 42 are packaged in pockets one after another in a spaced relation between layers of flexible sheet bonded together face to face and forming a band or ribbon 40. The flexible sheet is preferably a paper, for example a non-woven paper, permeable to tobacco ingredients and well-known in the art for oral snuff portion bags. The layers of flexible sheet may be composed optionally of two sepa- rate sheets or a single sheet that is folded once over itself (not shown). [0019] In another embodiment shown in FIG. 4 the smokeless tobacco product 42 itself forms the continuous band 40. In this embodiment, a thickening agent is also added to the wet tobacco product to change the consistency making the flexible band shape possible. [0020] According to the invention, the band is contained in a package 10 comprised of a small snuff box, container or housing 12, where the band 40 is compacted into a wound roll shape or a compressed meander or zigzag shape (FIG. 6). Preferably, a free end 46 of the band 40 is exposed from an opening 20 in the housing 12 so that the user can pull a desired length of smokeless tobacco product 18 from the housing 12 and tear off the desired length of band 40. [0021] In the preferred embodiment, the opening is a slit 20 defined by a pliable or yielding piece 22 of material that allows pulling the band 40 forward but prevents the free end 46 of the band 40 from unintentionally slipping back into the container 12. The material is preferably a flexible plastic film 22 that flexes outwards on pulling the free end 46 but may also be other pliable materials such as an expanded pliable plastics material (not shown). [0022] A reclosable lid or closure means 26 is connected by an integral hinge 30 to one 14 of two halves 14, 32 defining the housing 12. In its closed position (not shown) the lid covers the free end 46 of the band 40 in a closed space defined by a recessed wall 16 of the housing half 14, housing side wall portions 24, 24 and the lid 26. Snap lock means (not shown) on the side wall portions 24 and/or the lid 26 will lock the lid 26 in its closed position until its opened by",104
"Jun. 8, 2006 US 2006/0118589 A1 2 the user putting his/finger into a recess 18 under a protruding free end of the lid and forcing it upwards. [0023] To facilitate the separation of the band 40, band 40 can be provided with weakened lines such as perforations 43 (FIG. 6) between each pair of portions 20 in the case of pocketed portions. In the case of continuous tobacco product according to FIG. 4, the smokeless tobacco dough is easily tearable in itself but may if needed also be provided with weakening lines such as traversing depressions (not shown) defining the product portions therebetween. [0024] In the shown embodiments the box 12 is, however, provided with a cutting means in the shape of a knife 28 or the like for cutting the band apart at a distance from the opening 20 exposing the free end 46 of the band 40. More precisely, the user pulls the free end 46 of the band 40 a desired length past the range of the lid 26 and then manually closes the lid, whereby the knife 28 becomes effective to cut the desired length off outside the closed lid 26. [0025] In the embodiment shown in FIGS. 1 and 2, the knife 30 is mounted on the recessed wall 16. The knife is cooperating with a counter edge 27 on the lid 28 to facilitate the cutting action. [0026] In the embodiment shown in FIG. 3 the knife 28 is mounted on the lid 26. In this case, the knife 28 is cooper- ating with a counter edge 17 on the housing 12. To have a still cleaner cut, the knife 28 may be received in a narrow slit in the respective counter part when the lid 26 is closed (not shown). [0027] In the embodiments of FIGS. 1-4 the band 40 is stored in the shape of a wound roll in the housing 12. [0028] In the embodiment of FIGS. 1 and 2, the free end 46 of band 40 is taken from the inside of a stationary wound roll. In this arrangement the band 40 inevitably becomes twisted when pulled straight out from the housing 12. To overcome this problem, the compliant slit 20 can suitably be slightly over dimensioned for allowing folds resulting from this twisting of the band 40 to pass through the slit 20 (not shown). [0029] In the embodiments of FIGS. 3 and 4, the band 40 is wound onto a bearing sleeve 50 which is journalled on a shaft 34 protruding from the inside of the housing half 32. [0030] As mentioned in the foregoing, the continuous smokeless tobacco band 40 of FIG. 4 has a dough consis- tency. This may cause the individual turns of the roll to stick to each other. Therefore, the turns are preferably separated by a ribbon 44 of a non-adhesive material such as a release paper well known in the art. [0031] The continuous smokeless tobacco band 40 may also be relatively stiff compared to the highly flexible non-woven paper material supporting the product portions 42 in the embodiment of FIG. 3. Instead of pulling the band 40 out of the housing it is therefore in this case also possible to push it out from the inside. To this end, as is indicated in FIG.6, the band 40 may be directly wound stuck onto the hollow shaft 34 which in turn is journalled as a sleeve on a counter shaft 15 protruding form the other housing half 14. Accordingly, when the user rotates housing half 32 in the direction of arrow 36 relative to housing half 14, the free end of band 40 will be pushed out of the package. [0032] In the embodiment shown in FIG. 6 the band 40 of smokeless tobacco portions 42 is packed in a dense mean- dering manner in a parallelepipedic housing 12. In order that the portions will effectively fill out the interior of the housing 12, the band 40 and portions 42 are spaced and shaped in a complementary manner so that when the band is folded back over itself, elevated portions 42 of one side of one part of the band 40 will fit into the voids of an opposing side of an adjacent part of the band 40. [0033] An alternative embodiment of a container or hous- ing 12 according to the invention is shown in FIG. 7. In this case the upper half 14 of housing 12 is formed as a cover that is rotatably supported on a peripheral rim 33 (FIG. 8) on the bottom half 32 of the housing. The upper half 14 has a peripheral opening 13 in its peripheral wall, serving as a closure means 26, for exposing the above mentioned closed space outside the recessed wall 16 in the rotational position shown in FIG. 7 of the upper half 14. The bottom half 32 of the housing has further an additional space 15 for storing used product portions. The additional space is fully exposed by rotating the upper half 14 relative to the bottom half 32 approximately 90 degrees clockwise from the position shown in FIG. 7. [0034] Further, in this alternative embodiment the cutting means 28 is formed at one of the lateral edges of the peripheral opening 13. In this case, the free end of the band (not shown) is separated by the cutting means, for example by rotating the upper half 14 counter-clockwise in FIG. 7 until the free end of the band is trapped between the cutting means 28 and the opposite end of the closed space outside the recessed wall 16. Thereafter the user can tear the free end apart from the band. [0035] FIG. 9 finally shows a spool 52 as an alternative for the bearing sleeve 50 (FIG. 3, 4) and having a pair of opposite radial retaining flanges 54, 56. 1. A smokeless tobacco product user package (10), com- prising: a closed housing (12) for containing a continuous band (40) comprising said smokeless tobacco product (42); an opening (20) in said housing (12) for exposing an outer end (46) of said continuous band (40) outside said housing (12), and for allowing outfeed of said continu- ous band (40) from said housing (12) and separation of a desired length of said outer end by the user; and a reclosable closure means (26) for alternatively covering and exposing said outer end (46) of said continuous band (40) outside said housing (12). 2. The package according to claim 1, comprising a cutting means (28) outside said housing (12) for said separation of the desired length of said outer end (46) outside the housing (12). 3. The package according to claim 2, wherein said cutting means (28) is connected to the housing (12) or the closure means (26) to thereby assist in effect said cutting when said closure (26) is manually closed by the user. 4. The package according to claim 1, wherein said open- ing (20) comprises a narrow slit (20) defined by a compliant material (22) to prevent unintentional backward movement of said outer end (46) of the continuous band (40).",105
"Jun. 8, 2006 US 2006/0118589 A1 3 5. The package according to claim 1, wherein said con- tinuous band (40) comprises a plurality of smokeless tobacco product portions (42) arranged in a spaced relation one after another. 6. The package according to claim 1, wherein said con- tinuous band (40) comprises a continuous smokeless tobacco product (42). 7. The package according to claim 1, wherein said con- tinuous band (40) is wound to a roll in said closed housing (12). 8. The package according to claim 7, wherein said roll is supported on a shaft (34) in said closed housing (12). 9. The package according to claim 1, wherein said con- tinuous band (40) is stored in a compressed meandering fashion in said closed housing (12). 10. The package according to claim 1, wherein said smokeless tobacco product is an oral snuff. * *",106
"(12) INTERNATIONAL APPLICATION PUBLISHED UNDER THE PATENT COOPERATION TREATY (PCT) (19) World Intellectual Property Organization International Bureau HIPO OMPIO (43) International Publication Date 23 September 2004 (23.09.2004) PCT (51) International Patent Classification7: G07F 11/72, A47F 1/04 (10) International Publication Number WO 2004/080843 A2 B65D 85/10, (81) Designated States (unless otherwise indicated, for every kind of national protection available): AE, AG, AL, AM, AT, AU, AZ, BA, BB, BG, BR, BW, BY, BZ, CA, CH, CN, CO, CR, CU, CZ, DE, DK, DM, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, HR, HU, ID, IL, IN, IS, JP, KE, KG, KP, KR, KZ, LC, LK, LR, LS, LT, LU, LV, MA, MD, English MG, MK, MN, MW, MX, MZ, NA, NI, NO, NZ, OM, PG, PH, PL, PT, RO, RU, SC, SD, SE, SG, SK, SL, SY, TJ, TM, English TN, TR, TT, TZ, UA, UG, US, UZ, VC, VN, YU, ZA, ZM, ZW. (21) International Application Number: PCT/CA2004/000353 (22) International Filing Date: 9 March 2004 (09.03.2004) (25) Filing Language: (26) Publication Language: (30) Priority Data: 2,421,989 13 March 2003 (13.03.2003) CA (71) Applicant (for all designated States except US): VINKS LINKS LIMITED [CA/CA]; 20 Liberty Street, South, Bowmanville, Ontario L1C 2N2 (CA). (72) Inventors; and (75) Inventors/Applicants (for US only): VINK, Michael, A. [CA/CA]; 5 Queen Street, Bolsover, Ontario KOM 1BO (CA). VINK, Henrikus [CA/CA]; 20 Liberty Street, South, Bowmanville, Ontario LIC 2N2 (CA). (74) Agent: BARLOW, C., Brian; C. Brian Barlow & Asso- ciates, Suite 204, 627 Lyons Lane, Oakville, Ontario L6J 5Z7 (CA). (54) Title: CIGARETTE PACKAGING (84) Designated States (unless otherwise indicated, for every kind of regional protection available): ARIPO (BW, GH, GM, KE, LS, MW, MZ, SD, SL, SZ, TZ, UG, ZM, ZW), Eurasian (AM, AZ, BY, KG, KZ, MD, RU, TJ, TM), Euro- pean (AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HU, IE, IT, LU, MC, NL, PL, PT, RO, SE, SI, SK, TR), OAPI (BF, BJ, CF, CG, CI, CM, GA, GN, GQ, GW, ML, MR, NE, SN, TD, TG). Published: without international search report and to be republished upon receipt of that report [Continued on next page] 16 20 , 20. 20 16 7 16 14- 12 (24 18 10 -22 (57) Abstract: A roll of tape formed of a flexible material and having a length and a plurality of portions defining a plurality of sealed, air-tight elongate chambers along said length, wherein each chamber is adapted to retain a cigarette, and wherein a selected number of each of said chambers is defined in part by an interchamber portion. Also provided is a roll of cigarette-containing tape, as hereinabove defined in any one of claims 1 to 14, wherein said dispenser comprises a (a) housing constructed and adapted to receive said roll of tape; and (i) having tape-entry means through which said roll of tape enters said housing; and (ii) longitudinal aperture exit means through which said tape is controllably, operably dispensed from said housing in single cigarette-containing chamber array, one after another, (b) dispensation means within said housing to operably effect dispension of a desired length portion of tape through said exit means; and (c) control means operably cooperable with said dispensation means to effect operation of said dispensation means. The tape and assembly provides for single dispensation of a cigarette in its own air-tight chamber. WO 2004/080843 A2",107
"WO 2004/080843 A2 For two-letter codes and other abbreviations, refer to the ""Guid- ance Notes on Codes and Abbreviations"" appearing at the begin- ning of each regular issue of the PCT Gazette.",108
"WO 2004/080843 PCT/CA2004/000353 CIGARETTE PACKAGING FIELD OF THE INVENTION 5 This invention relates to packaging of cigarettes, cigars, cigarillos, kreteks, bidis and the like, particularly to said packaging in the form of rolls of dispensing tape BACKGROUND TO THE INVENTION 10 With conventional packaging of cigarettes, a predetermined number of cigarettes are wrapped with a sheet of inner packing for water and humidity proof ness and with a sheet of outer paper for correct information on the packed cigarettes and for enhancement of their commercial value. Further, the outer packing is, generally wrapped with a transparent sheet of packing paper. 15 When a package of cigarettes packed in the above-described conventional packaging manner is opened, an opening is defined through the packaging sheet on the side of the tops of the cigarettes so that the interior of the package is communicated with the surrounding atmosphere. As a result, aroma and natural flavours inherent to the packaged cigarettes tends to be lost; cigarettes are scattered to surrounding atmosphere; cigarettes and the package are 20 deformed. United States Patent No. 4,920,728 issued May 1, 1990 to K. Shibuya, describes a method wherein a thin sheet with a suitable degree of flexibility is interposed between tips of cigarettes to be packed in a package and the inner surface of a top of the package so that when the portion of the package is opened to define a cigarettes picking up opening, the thin sheet remains in said opening in the form of an inner cover or lid. 25 However, there still remains a need for providing cigarettes, cigars, cigarillos, kreteks, bidis and the like in packaging which maximizes retention of the flavour and enables each cigarette to stay fresh and dryer longer. Further, a means in which to better protect the cigarettes from becoming broken and crushed is also needed. Yet further, there is a need to 30 prevent counterfeiting of cigarette by designing difficult to reproduce techniques, such as holographic images and encryption, into the package design. Yet still further, it is most desirable to be able to reduce the amount of unhealthy and unnatural moisturizers and humectants, now used as additives and preservatives in the cigarettes, by eliminating the",109
"PCT/CA2004/000353 WO 2004/080843 amount of air exposure to each cigarette in the packaging and loss of moisture from the packaging. SUMMARY OF THE INVENTION 5 It is an object of the present invention to provide improved packaging for cigarettes, cigars, cigarillos, kreteks, bidis and the like, which enables the cigarettes to stay fresher and dryer longer by being conveniently individually wrapped and dispensed in such a way as to provide an improved barrier to moisture, light, UV, oxygen, other gases and the like. 10 It is a further object to provide an improved means of packaging which better protects the cigarettes from becoming damaged, crushed or broken. It is a further object to provide an improved means of packaging which reduces or eliminates unnatural moisturizing agents, additives, humectants and the like that are currently needed to preserve cigarette freshness and, thus, prolong shelf life. 15 Accordingly, in one aspect, the invention provides a roll of tape formed of flexible material and having a length and a plurality of sealed, air-tight elongate chambers along said length, wherein each chamber is adapted to retain a cigarette or the like, wherein a selected number of each of said chambers is defined in part by an intercavity portion. In this specification and claims, the term ""cigarette"" includes cigarettes, cigars, 20 cigarillos, kreteks, bidis and the like. The flexible material may, preferably, be a polymeric plastics material or metallic material, such as, for example, aluminum, silver or gold in the form of a foil. Preferably, the roll of tape comprises a pair of complementary longitudinal barrier films formed of a flexible material, bonded one to the other as to define a plurality of sealed, air tight chambers along said length of the tape wherein each chamber is adapted to retain cigarette or the like between said barrier films. 25 The chambers are termed herein ""blister"" chambers. The tape preferably has each of said interchamber portions having a plurality of perforations perpendicular to said length of said length of tape to operably constitute tear off 30 means to separate one chamber from the other. It also preferably has each blister chamber defined in part by an edge portion of said tape of sufficient finger gripping area as to operably constitute means to provide access to said cigarette in said blister chamber. The access to a cigarette in the chamber may 2",110
